Num1,Num2,Prod
0,0,0
0,0.1,0
0,0.2,0
0,0.3,0
0,0.4,0
0,0.5,0
0,0.6,0
0,0.7,0
0,0.8,0
0,0.9,0
0,1,0
0,1.1,0
0,1.2,0
0,1.3,0
0,1.4,0
0,1.5,0
0,1.6,0
0,1.7,0
0,1.8,0
0,1.9,0
0,2,0
0.1,0,0
0.1,0.1,0.01
0.1,0.2,0.02
0.1,0.3,0.03
0.1,0.4,0.04
0.1,0.5,0.05
0.1,0.6,0.06
0.1,0.7,0.07
0.1,0.8,0.08
0.1,0.9,0.09
0.1,1,0.1
0.1,1.1,0.11
0.1,1.2,0.12
0.1,1.3,0.13
0.1,1.4,0.14
0.1,1.5,0.15
0.1,1.6,0.16
0.1,1.7,0.17
0.1,1.8,0.18
0.1,1.9,0.19
0.1,2,0.2
0.2,0,0
0.2,0.1,0.02
0.2,0.2,0.04
0.2,0.3,0.06
0.2,0.4,0.08
0.2,0.5,0.1
0.2,0.6,0.12
0.2,0.7,0.14
0.2,0.8,0.16
0.2,0.9,0.18
0.2,1,0.2
0.2,1.1,0.22
0.2,1.2,0.24
0.2,1.3,0.26
0.2,1.4,0.28
0.2,1.5,0.3
0.2,1.6,0.32
0.2,1.7,0.34
0.2,1.8,0.36
0.2,1.9,0.38
0.2,2,0.4
0.3,0,0
0.3,0.1,0.03
0.3,0.2,0.06
0.3,0.3,0.09
0.3,0.4,0.12
0.3,0.5,0.15
0.3,0.6,0.18
0.3,0.7,0.21
0.3,0.8,0.24
0.3,0.9,0.27
0.3,1,0.3
0.3,1.1,0.33
0.3,1.2,0.36
0.3,1.3,0.39
0.3,1.4,0.42
0.3,1.5,0.45
0.3,1.6,0.48
0.3,1.7,0.51
0.3,1.8,0.54
0.3,1.9,0.57
0.3,2,0.6
0.4,0,0
0.4,0.1,0.04
0.4,0.2,0.08
0.4,0.3,0.12
0.4,0.4,0.16
0.4,0.5,0.2
0.4,0.6,0.24
0.4,0.7,0.28
0.4,0.8,0.32
0.4,0.9,0.36
0.4,1,0.4
0.4,1.1,0.44
0.4,1.2,0.48
0.4,1.3,0.52
0.4,1.4,0.56
0.4,1.5,0.6
0.4,1.6,0.64
0.4,1.7,0.68
0.4,1.8,0.72
0.4,1.9,0.76
0.4,2,0.8
0.5,0,0
0.5,0.1,0.05
0.5,0.2,0.1
0.5,0.3,0.15
0.5,0.4,0.2
0.5,0.5,0.25
0.5,0.6,0.3
0.5,0.7,0.35
0.5,0.8,0.4
0.5,0.9,0.45
0.5,1,0.5
0.5,1.1,0.55
0.5,1.2,0.6
0.5,1.3,0.65
0.5,1.4,0.7
0.5,1.5,0.75
0.5,1.6,0.8
0.5,1.7,0.85
0.5,1.8,0.9
0.5,1.9,0.95
0.5,2,1
0.6,0,0
0.6,0.1,0.06
0.6,0.2,0.12
0.6,0.3,0.18
0.6,0.4,0.24
0.6,0.5,0.3
0.6,0.6,0.36
0.6,0.7,0.42
0.6,0.8,0.48
0.6,0.9,0.54
0.6,1,0.6
0.6,1.1,0.66
0.6,1.2,0.72
0.6,1.3,0.78
0.6,1.4,0.84
0.6,1.5,0.9
0.6,1.6,0.96
0.6,1.7,1.02
0.6,1.8,1.08
0.6,1.9,1.14
0.6,2,1.2
0.7,0,0
0.7,0.1,0.07
0.7,0.2,0.14
0.7,0.3,0.21
0.7,0.4,0.28
0.7,0.5,0.35
0.7,0.6,0.42
0.7,0.7,0.49
0.7,0.8,0.56
0.7,0.9,0.63
0.7,1,0.7
0.7,1.1,0.77
0.7,1.2,0.84
0.7,1.3,0.91
0.7,1.4,0.98
0.7,1.5,1.05
0.7,1.6,1.12
0.7,1.7,1.19
0.7,1.8,1.26
0.7,1.9,1.33
0.7,2,1.4
0.8,0,0
0.8,0.1,0.08
0.8,0.2,0.16
0.8,0.3,0.24
0.8,0.4,0.32
0.8,0.5,0.4
0.8,0.6,0.48
0.8,0.7,0.56
0.8,0.8,0.64
0.8,0.9,0.72
0.8,1,0.8
0.8,1.1,0.88
0.8,1.2,0.96
0.8,1.3,1.04
0.8,1.4,1.12
0.8,1.5,1.2
0.8,1.6,1.28
0.8,1.7,1.36
0.8,1.8,1.44
0.8,1.9,1.52
0.8,2,1.6
0.9,0,0
0.9,0.1,0.09
0.9,0.2,0.18
0.9,0.3,0.27
0.9,0.4,0.36
0.9,0.5,0.45
0.9,0.6,0.54
0.9,0.7,0.63
0.9,0.8,0.72
0.9,0.9,0.81
0.9,1,0.9
0.9,1.1,0.99
0.9,1.2,1.08
0.9,1.3,1.17
0.9,1.4,1.26
0.9,1.5,1.35
0.9,1.6,1.44
0.9,1.7,1.53
0.9,1.8,1.62
0.9,1.9,1.71
0.9,2,1.8
1,0,0
1,0.1,0.1
1,0.2,0.2
1,0.3,0.3
1,0.4,0.4
1,0.5,0.5
1,0.6,0.6
1,0.7,0.7
1,0.8,0.8
1,0.9,0.9
1,1,1
1,1.1,1.1
1,1.2,1.2
1,1.3,1.3
1,1.4,1.4
1,1.5,1.5
1,1.6,1.6
1,1.7,1.7
1,1.8,1.8
1,1.9,1.9
1,2,2
1.1,0,0
1.1,0.1,0.11
1.1,0.2,0.22
1.1,0.3,0.33
1.1,0.4,0.44
1.1,0.5,0.55
1.1,0.6,0.66
1.1,0.7,0.77
1.1,0.8,0.88
1.1,0.9,0.99
1.1,1,1.1
1.1,1.1,1.21
1.1,1.2,1.32
1.1,1.3,1.43
1.1,1.4,1.54
1.1,1.5,1.65
1.1,1.6,1.76
1.1,1.7,1.87
1.1,1.8,1.98
1.1,1.9,2.09
1.1,2,2.2
1.2,0,0
1.2,0.1,0.12
1.2,0.2,0.24
1.2,0.3,0.36
1.2,0.4,0.48
1.2,0.5,0.6
1.2,0.6,0.72
1.2,0.7,0.84
1.2,0.8,0.96
1.2,0.9,1.08
1.2,1,1.2
1.2,1.1,1.32
1.2,1.2,1.44
1.2,1.3,1.56
1.2,1.4,1.68
1.2,1.5,1.8
1.2,1.6,1.92
1.2,1.7,2.04
1.2,1.8,2.16
1.2,1.9,2.28
1.2,2,2.4
1.3,0,0
1.3,0.1,0.13
1.3,0.2,0.26
1.3,0.3,0.39
1.3,0.4,0.52
1.3,0.5,0.65
1.3,0.6,0.78
1.3,0.7,0.91
1.3,0.8,1.04
1.3,0.9,1.17
1.3,1,1.3
1.3,1.1,1.43
1.3,1.2,1.56
1.3,1.3,1.69
1.3,1.4,1.82
1.3,1.5,1.95
1.3,1.6,2.08
1.3,1.7,2.21
1.3,1.8,2.34
1.3,1.9,2.47
1.3,2,2.6
1.4,0,0
1.4,0.1,0.14
1.4,0.2,0.28
1.4,0.3,0.42
1.4,0.4,0.56
1.4,0.5,0.7
1.4,0.6,0.84
1.4,0.7,0.98
1.4,0.8,1.12
1.4,0.9,1.26
1.4,1,1.4
1.4,1.1,1.54
1.4,1.2,1.68
1.4,1.3,1.82
1.4,1.4,1.96
1.4,1.5,2.1
1.4,1.6,2.24
1.4,1.7,2.38
1.4,1.8,2.52
1.4,1.9,2.66
1.4,2,2.8
1.5,0,0
1.5,0.1,0.15
1.5,0.2,0.3
1.5,0.3,0.45
1.5,0.4,0.6
1.5,0.5,0.75
1.5,0.6,0.9
1.5,0.7,1.05
1.5,0.8,1.2
1.5,0.9,1.35
1.5,1,1.5
1.5,1.1,1.65
1.5,1.2,1.8
1.5,1.3,1.95
1.5,1.4,2.1
1.5,1.5,2.25
1.5,1.6,2.4
1.5,1.7,2.55
1.5,1.8,2.7
1.5,1.9,2.85
1.5,2,3
